user_name,score,content
Naufal Atha S,4,"Bagus sih tapi kadang pas udah nyelesain malah layarnya putih jadi harus keluar dulu biar bisa ngelanjutin, trus pas latihan buat nambah energi harus update dulu biar bisa nambah energi kalo update"
Ni Made Shinta Hardiyanti bendesemas,5,Aplikasi yang paling bagus banget saya bisa belajar bahasa inggris yang benar.
Desmiati Buke,5,"duolinggo ini belajarnya seru apa lagi di catur bisa lawan oscar atau lawan orang lain.selain itu,kita bisa belajar bahasa yang banyak,contohnya bahasa spanyol.lalu kita bisa akses ke super duolinggo.disana kita bisa bebas iklan dan lainnya.itu saja informasi yang saya berikan.terima kasih"
Khoirul Codo,5,membantu saya belajar
BAYU SYAH PUTRA,1,Gk ada catur terus betanya penuh please klo mau bikin itu tuh yg bnr bukan saya marah tapi saya suka dengan game ini arigato
Witria Delvi,4,bagus
Email Formalitas,4,Jujur ini bagus banget tapi bisa offline aja gak
Sari Gandum,5,menurutku aplikasinya bagus bikin gw jadi paham soal bahasa catur dan lainnya
Diana 18,5,"bagus banget ,gampang juga mau belajar bahasa Rusia tapi tolong agar bahasa nya dijadikan pakai bahasa Indonesia aja jangan bahasa Inggris 😭"
Haris Laode,5,aku menyukai ini
Handa Yani,5,bagus banget buat aku berlatih lagi bahasa inggris ku dengan baik dan bahasa bahasa lainnya
Sulhan,5,"aplikasinya sangat sangat bagus untuk belajar bahasa baru, interaktif dan lebih lebih seru dengan pendekatan seperti main game dalam balam belajar bahasanya"
Aiswa Nahla,5,tidak paham dengan alamat emal
Ara Syakira,1,"streak saya hilang gara gara disuruh log in, padahal sebelum saya log in streak nya sudah 4 pas saya log in streak nya ke ulang. saya sangat sedih streaknya hilang . kenapa harus disuruh login kenapa...,,,kan cuma belajar kenapa harus login sedih sekali"
Maria yasinta Elvarista,5,"bagus kak, menururtku aplikasi belajar ini sebenarnya cocok dipaakai sama sekolah dan orang yang suka belajar bahasa Inggris secara santai gitu. cuma aku merasa belajar bahasa inggris di duolingo materinya terlalu muter-muter dan ada beberapa terjemahan yang kurang sesuai dengan arti sebenarnya. terima kasih duolingo sudah menemani diriku semenjak tahun 2021 wkwkwk"
