user_name,score,content,clean_content,sentimen
Reza Kelap,1,eror min gk bisa pkek qriss,eror min pkek qriss,netral
Febri Permana,1,aplikasi nya sih bangua cuma tolong lah masalah dana cicil yang limit nyah tersedia tapi tidak bisa di pakai di perbaiki lagi,aplikasi nya sih bangua tolong dana cicil limit nyah sedia pakai baik,positif
Enjhi Ang,1,nga bisa dibuka....uang di dalam ng abisa di akses,nga buka uang ng abisa akses,netral
BindakunJunaForme Uum,1,saya membeli satu produk di game tapi saya sudah membayar tetapi produk tidak muncul di dalam game dan uang dana saya tidak di kembalikan dasar aplikasi bosok sekali ini,beli produk game bayar produk muncul game uang dana kembali dasar aplikasi bosok,netral
Yohanes Hekto,1,bagus,bagus,positif
Muhammad Nathan,1,sering banget kendala qris jadi GK nyaman pake apk ini buruk banget deh mending pakai gopay aja bray,banget kendala qris nyaman pake apk buruk banget deh mending pakai gopay aja bray,netral
indra ramdhan,1,dana bisnis cariin duitnya lama bgt kalo bukan bayar pake dana cpt,dana bisnis cariin duit banget kalo bayar pake dana cpt,netral
Surti Wijoyo,1,gk bisa di instal,instal,netral
Yeni Riana Sari,1,"APLIKASI NYA NIPU, KATANYA BAGI PENGGUNA BARU DATANG SALDO 500RIBU, TERNYATA BOONGAN DOANG,JADI KALAU ADA INFORMASI TENTANG BAGI-BAGI SALDO GRATIS DI DANA JANGAN PERCAYA ITU CUMA DI IMING IMINGIN DOANG, ITU PALSU/PENIPUAN",aplikasi nya nipu guna saldo ribu boongan doang informasi saldo gratis dana percaya iming imingin doang palsu tipu,negatif
Alahhh TerL,1,ini gmn yah mksdnya tiba² saldo saya kepotong 50 rb padahal sy gda transaksi ditanya siapa yg potong malah privasi padahal seharusnya dana yg ngelindungin akun saya,gmn yah mksdnya saldo potong rb sy gda transaksi potong privasi dana ngelindungin akun,netral
Muhammad Aqilnasution,1,masa aku mau daftar dana nya ga Nerima muka aku rusak ni aplikasi udah berpuluh puluh kali ngulang sama berkedip sampe ganti ganti muka tetap gabisa tolong dong developer,daftar dana nya nerima muka rusak ni aplikasi udah puluh puluh kali ngulang kedip sampe ganti ganti muka gabisa tolong developer,negatif
Mukhamad Sobirin,1,ada wifi tapi aplikasi dana muter terus gak jelas,wifi aplikasi dana muter,netral
dede saepuloh,1,apaan banget tiba tiba ada tagihan,banget tagih,netral
Tecno Smart 3 go,1,tidak bisa mengunakan pembayaran lain,mengunakan bayar,netral
