user_name,score,content
Irham Alfurqon,5,"mantap PLN, saya bisa lapor keluhan dan respon petugas gercep sekaligus handal"
IRFAN EKSEL,5,sangat senang menggunakan aplikasi dana apalagi udah pakai vitur paylater
Kurnia Kur,1,duit gua ilang ka tangung jawab
Sakura Rara,5,Kren
Roreng Belk,4,lumayan
alex alexa,5,saya kecewa tidak ada fitur dana cicil
Ahmad Riyadi,1,"woy dana,saya isi e toll via aplikasi dana tp saldonya ga masuk.. sudah 1 minggu lebih ga kembali.. gimana tanggung jawabnya..?"
Julkar Naen,5,dana cicil ga bisa lagi kenapa?
San Comel,1,dana tidak aman saya sebagai pengguna dana merasa di rugikan saldo saya sering hilang
japonk doank,5,puas
ice Tea,1,aplikasi busukk.login susah aplikasi rampok saldo ini..pindah ovo aja jangan dowload dana ribet
Rio Pratama,5,baik
sahlal 1234,5,bantu ke versi terbaru
Kurnia,4,"oke aman. cuman knpa ya pemberitahuan nya ga bisa di hapus, pesan transaksinya."
Supri Yanto,5,"bayar telat walau dah bayar lunas limit langsung di bekukan emosional pihak dana kan dah di bayar+ bunga semua , mengecewakan"
Dhanie Alamsyah,1,apk tidak guna . tiap mau upgrade gagal terus.. malessss
Naura Ayundaprastiwi,1,a wa q
Friendly Sahmaijon purba,5,uang saya tiba tiba hilang 300.000 ribu rupiah tidak ada melakukan transaksi tapi uang hilang
Aziz Bahtiar,5,oke
Rama Dani,5,sangat membantu TPI saya dana cicilnya blm terbuka
Satria Putri,2,DANA CICIL HANYA TAMPILAN GAK BISA DIGUNAKAN SAMA SEKALI AUTO UNINSTALL
Novi Channel,2,"ko bisa , saya dana cicil tidak bisa dipakai tapi ada limit saldo nya aneh"
chiwo ziwox,1,kecewa akun saya yg sdh premium tiba2 kembali lagi ke awal giliran mau di kembalikan ke premium lg alasannya ktp saya sdh di pakai yg akhirnya akun saya gk premium sampe skrng
Orang Kaya,1,gak jelas banget apk nya
Dian Arfash,2,"aku dana saya tidak muncul fayleter ya bisa d bantu brang kali,transaksi saya hampir 10jt tiap bulan ngaruh GK siih GK muncul fayleter"
Karias Dalam,2,pitur dana Instan/ dana Cicil ga muncul di sya
kang rahman,5,bagus
Laila Fatimah,1,"tololl ga ada keamanan maksimal, saldo saya di pakai org yng menggunakan akun saya, keamanan ga ada udh ganti sandi verifikasi email udh verifikasi muka masih aja dibobol, benci banget mau hapus akun harus isi email ps udh dipencet malah ga bisa, ni yaa buat pengguna dana yang lain mending ga usah pakai dana, keamanan minus banget"
Yana Suryana,5,aku suka lupa pin
Arki Albiyanto,5,paylater kok punya saya gk nongol
Imam Sukoco,5,ok
HamzahSaeful Malik17,4,fitur fitur dan aplikasi nya bagus sih. Tapi tidak semua bank ada. Saya mau transfer ke bank bpr supra itu tidak ada.
Vianmedan@gmail.com Vian,1,sudah daftar dengan ktp belum premium
Vario Tehkno,5,sngt membantu
Jumadi Juna,5,mera nyaman ja
Dedi Sukoco,5,"dana instan kalo lunas apa naik limitnya min ,terimakasih"
anita Nimasayu,1,"pakai dana pengen dapat voucher belanja indomaret 5rb malah rugi 20rb , saat ditukar voucher indomaret tidak bisa padahal saya tanggal 22 sudah tanya ke dana tidak ada keterangan barcode dan tidak bisa ditukarkan ke indomaret, tanggal 23 jam 9 an hangus katanya kalau tidak dipakai terus uang saya dimana itu diambil siapa, padahal sudah nukarkan sebelum kadaluwarsa voucher, aplikasi yg merugikan nasabah"
nofita Sari,1,ini dana lg eror apa gmn kak kok akun saya tba² saya buka logout sndri trs ta masukkan lg nomernya nggk bsa mlh ada tulisan sedang ada kendala coba ke jaringan yg lbh stabil itu gmna cra ngatasinnya kak mana nomernya udah tdk ada akun ku jg ada saldonya lg
"Bambang Bisowarno, S. Pd.",5,dengan teliti
Wanti Safutri,5,mantap
choirunnisa nisa,1,saya isi saldo Maxim melalui dana di dana sudah berhasil tapi saldo Maxim saya masih belum masuk tolong tanggapannya min
Jemy Konta,5,coba dllu
Etawa Kaligesing,5,mantap
Aris Setyawan,5,bagus
mega febrianty,5,mantappp
aa diedie,3,saya kecewa kenapa dana cicil tidak aktif lagi padahal semua tagihan dibayar lunas
Jp Big,3,sudah tahunan saya menggunakan aplikasi dana ini... tapi DANA cicil tidak tersedia di aplikasi DANA saya
Andik Pirmansyah,3,"kenapa pas proses transaksi itu ada eror nya, setiap beli minecraft/top up game malah eror, padahal uang nya pas"
M Al-ghifari,3,"tolong diperbaikin untuk fitur dana cicil, kenapa limit tidak tersedia/tidak ditemukan saat mau pembayaran, padahal belum pernah dipakai sama sekali"
Albina Sabina Sabina,3,sangat bagus cumn baru pertama pakenya sy ksih bintang 3 dlu
Arie Boris,5,bagus
klarisa olipia,1,"buruk banget. udah 2 kali bikin qr lewat dabis dan saldo di 2' nya gabisa di tarik, is really bad you know."
Ghilang Lesmana,5,oke
Ayah Agus,5,ok
Rohadi Adit,5,mantap
Ketut Suparma,5,top
Riska Ratna Dewi,3,"Masa tiap isi saldo kepotong 1.500 dulu cuma 500, klo kepotong sehari sekali masih mending atau dibatasin sebulan gratis adm brp kali kaya transfer"
cink ubek,5,sekarang ada biaya adminnya
Agus Kesumajaya,5,kapan ya muncul fitur dana cicilnya
Hwang Yejin,5,bagus
Sanutin,5,👍
Firman Wijaya,5,sangat bermanfaat sekali
ade irmawatipolo,5,dana sangat membantu kebutuhan pembayaran saya yang secara cepat jaya slalu apk dana
Zhullia Wijayanti,1,"kenapa skrg dana tiba"" ada pengurangan smp 2rb bt ap???? dan skrg kena biaya admin 2rb kl kita trf"
adil kece,5,"saya sangat sudah berpengalaman mengunakan aplikasi dana ini, sangat mewah sih😊"
Raden Ucak,5,praktis
Umi Iyum,5,aplikasi Dana Dhebes pokonya
Ahmad Abdullah,5,bagus
Yadi Blek,1,"saldo dabis ga bisa di cairkan, udah konfir ke si diana iti tapi tetep aja, udah vermuk pas berhasil malah error dan harus nunggu lagi, padahal uang nya lagi dibutuhin banget. sara aja kalo uang nya gabisa dicairkan ke saldo biasa harusnya langsung bisa dipakai di dabis biar ga repot. jelek banget."
Martin,1,Biaya ADM nya makin besar 👎🏻👎🏻
kaneki kuroyaki,5,"ku kasih b5 biar kebaca,udah melunasi dana cicil,limit ada ,tapi sedang tidak tersedia terus aneh banget telat gapernah,apalagi sampe nunggak"
azkal azkia,5,lapor gangguan mati lampu banyak rumah bisa dari rumah cukup tekan pln mobile
Sumi Junni,5,makasih sangat membantu dan aman 🥰
Riyan Bungo,5,mantap
Tokbrut Totok,5,dana saya tida bisa terima uang dari bank lain
Muhammad Miko Sahputra Sembiring,1,"ribet njir, KTP terang pun gk terdetek"
Radiiitttya,5,sangat nyaman
Hendrikahmad Rusmana,5,bagus
Hanin Rahma,5,Good👍
Tati Suryati,5,ok
Derry Rizky F,5,belum punya dana cicil.
Joko Santoso,1,setiap mau transaksi pasti ada kendala nya
Ahmad Safarudin,1,eror mulu kalo mau transaksi
Sri Aja,2,kecewa tidak msuk dilaporan pdl sudah masuk
Rania Ra,1,parah ga ada transaksi tiba2 ilanng mana gadi kasi solusi
PREKEDEL HANGAT,5,apk rekomedet
Mas Dool,5,mantap
fadli winda,5,sangat memuaskan dan cepat
Arif In,5,makin mudah aksesnya makasih dana
Jon Zidan2002,5,Alhamdulillah sudah bisa login lagi meski harus susah paya matikan daya / reset ulang 😇
Sarman Abdul,5,keren aplikasi ini bercuan
Itel Tel,5,gaada dana cicil
amrullah amin,5,"tolong bantu saya,agar segera mengaktifkan fitur dana cicil pay later"
Hotari Muda Ritonga,5,mantap👍👍👍
Hamonangan Ray,5,ok
Slamet Sukoco,4,dari kemaren masukin data dgn benar tapi belum juga di fervikasi.. sttus lagi di cek dan sudah beberapa kali.. sudah perlu mau ambil uang untuk beli popok anak tapi status masih di cek terus
Mocai caiai,5,mantap
Baitur Rohman,5,bagus
Rizki,5,dana saya kok gak muncul danacicil nya padhal sya udah lma bnget pakai aplikasi dana
Hary Kuswanto,3,ok
Sikembar Bungsu,1,"APLIKASI DANA BOROS UDAH TERIMA DUIT DI POTONG, TAMBAH KALO KITA MAU TUKAR RUPIAH PASTI BAYAR ADMIN.!!"
Jesmine Malika,5,sangat membantu
